birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
				IRI	12510106				Chasbi, Samir								
				IND	5047340				Chatanya, Singhania								
				GRE	4212100				Chatzidimitriadis, Athanasios								
				IND	5047366				Chavan, Vijaya								
1993				CHN	8604614				Chen, Yidi								
				CHN	8604819				Cheng, Huaiyu								
				IND	5047420				Choudhary, Abhishek								
				BAN	10204091				Chowdhury, Enamul Haque								
				BAN	10205896				Chowdhury, Md. Al. Amin Kh								
				BAN	10205900				Chowdhury, Md. Kismot								
1973				RSA	14300982				Cloete, Eh								
				ECU	3603601				Coello, Eddis								
				IRI	12506729				Darabbeigi, Farhad								
				IND	5047463				Dathu, G S V								
				RSA	14301873				Dawood, Saleem								
				PHI	5203694				Daylo, Leo Jr F Phi								
				ECU	3605221				De Mera, Noe								
				BAN	10204709				Delwar, Hossain Dulal								
1983				TUR	145216146				Deniz Efil								
				IND	5047510				Desai, Dr Dinkar								
				IND	5036933				Desai, Pratik								
				KEN	10800441				Devani, Chiraag								
				IND	5038642				Dhadake, Varun								
				IND	5035554				Dhankar, N.K.								
				PER	3804240				Diaz, Jovanny								
1988				SUD	12200212				Diedeircks, Marilize								
				IND	5035775		8	20	Dileep, Tripathi					1751			
1992				IND	5015774				Dixit, Sayali						w		
1992				MDA	13903705				Dvornicean, Ion								
				IRI	12510122				Ebrahimpour, Soheil								
				GRE	4211855				Efstathopoulos, S.								
				BAN	10205926	i	0	40	Ehsan, Syed Rownak					1902			
				MAR	9001735				El-Yaqobi, Ahlam								
				IND	5030293				Elanchezhian								
				GRE	4215532				Eleftheriadis, Pavlos-Gavriil								
				MAR	9001743				Elfadili, Samir								
				YEM	9400761				Elgenedy, Yaser								
				RSA	14301903				Ellapen, Rowan								
				YEM	9400770				Elshorafy, Hameed								
				MAR	9001271				Erbahi, Fouad								
				RSA	14301393				Erlank, Keith								
				IRI	12510157				Esfandiari, Pouya								
				IRI	12510165				Eshghi, K								
				IRI	12510173				Eshghi, Qmars								
				IND	5047749				Eshwant, Dev Kumar								
				IRI	12506516	i	0	40	Esmaeilipour, Ezatollah					1836			
				ECU	3605280				Espinosa, Daniel								
				MAR	9001751				Essabar, Yasser								
				YEM	9400788	i	0	40	Fadl, Gamal					2053			
				IRI	12510211				Farajollahzadeh, Setareh								
				IRI	12510220				Farazande, Mohsen								
				BAN	10205950				Farhana, Fatema								
				IRI	12506656				Farnia, Y								
				ARG	115754				Fedrizzi, Mauro Ignacio								
				AHO	7500424				Flanders, Uclan								
				MAS	5703506				Fm, Anaz Nasreen Bakri								
				IRI	12510297		0	20	Forati, Mohsen					1913			
1950				GRE	4210140	i	0	40	Fotiadis, Anastasios					1814			
				IRI	12510300	i	0	40	Fotovat Eskandari, Anahita					1802			
				GRE	4221109				Fraggoulis, Elefterios								
				IRI	12506753	i	0	40	Freidoonzadeh, Akbar					1723			
				IRI	12510319				Furgynejad, Abolfazl								
				IND	5047811		0	40	Gajendra, Karekar					1277			
				IND	5004632				Ganesh, D.								
				IND	5038669				Gaonkar, Amey								
				IND	5047862				Garg, Anirudh								
				SYR	7602286				Gazi, Gancom								
				CHN	8604665				Ge, Peiqiao								
				IRI	12505498				Ghader, Pour Shaye								
				IRI	12510394				Ghanbari, Nader								
				IRI	12506761				Ghaniafshord, Hamed								
				IRI	12510416	i	0	40	Gharakhloo, Roozbeh					1990			
				IRI	12507571				Ghaytasvand, Parviz								
				IRI	12510440	i	0	40	Ghazanfarzadeh, Morteza					2133			
				IRI	12510459				Ghazisharif, Kaveh								
				IRI	12510483				Gheisari Saeid, Nasser		0	20	1597				
				IRI	12510513				Ghorbandoost, Mehran								
				IND	5047919				Giriselvam. M								
				IND	5047960				Gogate, Kedar								
				IND	5035473				Gokul, D.								
				BAN	10205969				Golam, Mohiuddin								
				IRI	12510530	i	0	40	Golshan, Masoud					1725			
				IND	5035783				Gopal, R.								
				IND	5031214				Gopala, Krishana P.								
				IND	5048010				Gopinath Kesahav, Druv								
				IRI	12510548				Goudarzvandchegini, Rasoul								
				GRE	4221303				Gouleas, Ioannis								
				GRE	4215567				Gripas, Stelios								
1984				MAR	9001778		0	40	Gueznai, Achraf					2026			
				SRI	9902295				Gunawardana, R.U.W.								
				SRI	9902309				Gunawardena, Malindu								
				IND	5048095				Gupta, Harshdeep								
				IND	5048109				Gupta, Kapil								
				IND	5034442				Gupta, Suyash Pankaj								
				BAN	10204822				H.K., Samrat								
