birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
				IND	5036453				Niranjan								
				IND	5035503				Nistchal, B.								
				IND	5051169				Nitya, Ahuja								
				IND	5051185				Nivanthee, Jayaraj								
				IRI	12507075				Noori, Vahid								
				ECU	3607151				Noriega Zambrano, Holguer								
	0	20	1889	IRI	12506060		5	20	Noroozi, Reza.		0	20	1957	1973			
				MAR	9001824				Noureddin, Mosala								
				IRI	12507083				Nouroozi, Jamshid								
				IRI	12506524				Nouroozi, Meisam								
				IND	5051193				Nubairshah, Salimshah Shaikh, M								
				BAN	10206310				Nurul, Islam Ashiq								
				RWA	16000110				Nzamwitar, Aciel								
				BAN	10204440				Obaidul, Islam								
1992				ARG	173363				Olmos, Yanina								
	0	20	1885	BAN	10206329				Omar, Faruk Bipob								
				SUD	12200271				Omar, Haitham								
				PLE	11500581				Omar, Talal								
				IND	5051215				Omkar, Sanjay Davate								
1990	0	20	1607	ARG	117455	i	0	40	Orsatti, Felicitas		0	20	1638	1598			
				YEM	9401563	i	0	40	Othman, Thi Yzin					1949			
				MAR	9001832				Ouardane, Anouar								
				IRI	12511323				Oufie, Ali								
				IRL	2510197				O`Sullivan, James								
				IND	5051258				P., Srinivasa Varma								
				GRE	4222520				Pagouropoulos, Emilios								
				IRI	12511331	i	0	40	Pakbin, Abbas					1674			
1992				IND	5036470				Palaniappan, S.								
1966				IND	5051290				Paliwal, Deepak								
1984				IND	5036488		7	20	Pallab, Bala					1661			
1993				IND	5036496				Pallabi, Roy								
				IND	5051304				Pallavi, Bharatwaj								
				IND	5035619				Pallavi, Dutta								
1984				IND	5030862				Palsule, Kedar								
				IND	5027667				Palsule, Niraj								
				IND	5016940				Panchmatia, Charvi						w		
				IND	5037093				Pande, P P								
1951				IND	5030439		0	40	Pankaj, Gandhi					1721			
				GRE	4213998				Papadopoulos, Alkiviadis								
1993				IND	5037107				Parekh, Vineet								
				IND	5051401		0	40	Parkash, Suraj					1431			
				IND	5038740				Parle, Prathamesh								
				IND	5034299				Parthiv, Nanda								
1989				IND	5030889				Patil, Gourav								
1968				IND	5051487	i	0	40	Patil, Narendra Ramdas					1650			
				IND	5051495				Patil, Rituja								
				IND	5051509				Patkar, Neha								
1970				IND	5030447		4	20	Paul, I. Sumi					1397			
1993				IND	5036500				Paul, Pandian D.								
1991				IND	5026938				Pawar, Sandeep								
				IND	5051568				Pawaskar, Purva								
				IND	5037115				Pedenkar, Ninant								
1960				IND	5051576				Pednekar, Suhas								
1997				IND	5051584				Pereira, Cyrus								
				PAN	6600468				Perez, Emilio								
1980				IND	5031435	i	0	20	Perumallu, K.		0	20	1647	1684			
				GRE	4213580				Peteinatos, Periklis								
				IND	5051606				Phani Mahesh, N								
				RSA	14302039				Pillay, Ezra								
1961				IND	5051622				Pinto, Augusto								
				GRE	4215290				Piros, Anestis								
1987				ARG	116920				Pirozzi Alfaro, Ornella								
1962				IND	5035880				Piyush, Vora								
				MDA	13903675				Plamadeala, Cornel								
				IRI	12511358				Pooraraghiyan, M.reza								
				IRI	12507121		0	20	Pooreraghian, Mohammadreza					2073			
				ARG	115886				Popov, Mykola								
				IRI	12511366				Pour Ojaghi, Saeid								
	0	20	1852	IRI	12511382	i	0	40	Pourbahram, Hamed					1905			
				IRI	12511390	i	0	20	Pourhassannedjad, Arash					1990			
				GRE	4213343				Pouria, E.								
				IND	5037638				Prabhu, Ajay								
1992				IND	5031443				Prabhu, Kiran P.								
				IND	5051681				Prakash, Anant								
				IND	5041783				Prasanna, Vishnu								
				IND	5051797				Praveen Kumar Reddy, K								
1986				IND	5036542				Praveen, Kodathala								
1992				IND	5026040				Prince, Poddar								
				IND	5042151	i	0	40	Prithvi, S					1568			
				IND	5051908				Priya, Sahay								
1992				IND	5031494				Priyam, Prasambit Tripathy								
				IND	5051924				Priyanka, Ved								
				IND	5051959				Puja, Devi.R.K								
				ECU	3607267				Puma, Belen								
				BAN	10204016				Quddes, Fakhrul								
				IND	5038774				R., Nagesh								
				IND	5052025	i	0	20	Raaj, Bajaj					1542			
				IND	5052041				Rabde, Salil								
				SYR	7602405				Rabou, Mazen								
				BAN	10204458				Rafiqul, Islam (rafiq)								
1989				IND	5031508				Raghavendra, Mishra								
				CHN	8604584				Rahim, Rahmat								
				BAN	10204652				Rahman, Md. Habibur								
				BAN	10204148				Rahman, S.M. Mahbubur								
				BAN	10203788				Rahman, Shamsur Monju								
				IRI	12511439				Rahmani, Nader								
				IND	5035627				Rahul, Karnani								
	0	20	1792	BAN	10206345		7	20	Rain, Sheikh		0	20	1806	1743			
				IND	5037131				Rajadhyaksh, Rajan								
				IND	5037140				Rajadhyax, Rajan		0	20	1331				
				IND	5052211				Rajanna, Gandhasiri								
				IND	5052238				Rajat, Jatana								
1965				IND	5030498				Rajesh, Bhojani								
				IND	5035635				Rajinder, Pal								
				IND	5038421				Rakesh, Srivastava								
				BAN	10206361		1	20	Rakibul, Islam Shachchu		0	20	1974	1985			
				IND	5042160				Ram, Theja K								
1950				IND	5031524				Ramakant, Mishra M.								
				IND	5052424				Ramavarma, Pareekshit								
1953				IND	5031532		4	20	Rambabu, Sachan					1430			
1991				IND	5036585				Ramkumar, R.								
				IND	5052432				Ranbir, Chakma								
				IRI	12511455	i	0	40	Ranjbar, Mohammadhossein					1649			
				IND	5052459				Ranolia, Vikram								
1982				IND	5034531				Rao, D. Tirumal								
				UAE	9301860				Rashed, Al Dhaheri								
				IND	5052483				Rathor, Ashok								
				IND	5031567				Ravinandan, N.								
				IND	5052505				Ravneet								
				IRI	12507130				Razavinasab, Habib								
	0	20	1887	BAN	10204466		0	20	Reasat-E-Noor		0	20	1786	1808			
				IND	5037158				Rehman, Fazal Ur								
				IND	5037166				Rehman, Fazlur								
				BAN	10204970				Rezaul, Islam Babu								
				BAN	10206370				Rezwanul, Haque								
				MAR	9001247	i	0	40	Rian, Moubarak		0	20	1992	1996			
				IND	5052530				Richard, Akhtar								
				IND	5052580				Rishu, Rathi								
				IND	5052602				Rodrigues, Francisco								
				IND	5052629				Rohith, Kyasa								
				BAN	10204890	i	0	20	Rokshana, Titli					1503			
				ARG	173592				Romans, Julian								
				ESA	6700772				Romero, Wilber								
				PHI	5204046				Ronald, Llavanes*								
	0	20	2099	IRI	12511471		9	20	Rostami, Rouzbeh		0	20	2004	2110			
1994				IRI	12511480	i	0	40	Rostamzaden, Reza					1728			
				IRI	12507164				Rouhparvar, Alireza								
				IND	5052645				Rubina, Gill								
				IND	5034183				Rupesh, Kumar Mishra								
1984				IND	5031575				Rupesh, Mishra								
				MAR	9000992				Ryan Mobarak, Mohaed								
1991				IND	5052661	i	0	40	S, Eswar					1379			
				IND	5052700	i	0	40	S., Harith					1917			
				IRI	12507644		0	20	Saadati, Behrooz					1843			
1990				IND	5030510				Sabari, Nath S.U.								
				MAR	9001140				Sabber, Yasir								
				BAN	10204156				Sabbiya, Shachi								
				IRI	12507180				Sabeti, Mohammdsadegh								
1997				IND	5052726	i	0	40	Sabnis, Om					1759			
				IND	5052734				Sachin, D More								
				IND	5031907				Sachin, Kelkar								
				IND	5052742				Sadaliya, P.								
1945				IND	5021421				Sadanand, Vaishampayan								
				IRI	12505080	i	0	40	Sadeghpour, S.					2005			
				IRI	12511510				Sadrieh, Farhad								
				UAE	9302760				Saeed Khalifa, Alshamsi								
				YEM	9401580	i	0	40	Saeed, Khalid					2131			
				IRI	12507199				Saei, Rasool								
1989				UAE	9302670				Safar, Noura								
				IRI	12507210		9	20	Safarian, Javad					1952			
1956				IND	5034558	i	0	40	Sah, Ram Bhajan					1403			
1990				IND	5033993				Sahmin, Abdul								
				IND	5031613				Sai, Shankar V.								
				IND	5052815				Sai, Vishnu Teja Tadimeti								
				YEM	9400826				Saiid, K								
				IND	5052823				Saikat, Chakrabarty								
1994				IND	5036607				Saikat, Mullick								
1987				IND	5034000				Sajan, Kumar								
				IRI	12511528				Salami, Yaser								
				MAS	5703751				Salanjira, Blessings								
				IRI	12511536				Saleh Kootah, A.								
				YEM	9400834				Saleh, Megahed								
				IND	5042186				Salil, Kumar D								
1979				IND	5034019		0	20	Salil, Kumar D.		0	20	1893	1820			
1973				IND	5034027		0	20	Salim, Yoosuf					1567			
				IRI	12511544	i	0	40	Samsami, Mohsen					1845			
1957				IND	5036615	i	0	40	Samuel, V.					1681			
				IND	5042208				Sandeep, Raj S								
				IND	5052882				Sandeep, Singh								
				IND	5030536		0	20	Sanjay, Davda					1583			
1968				IND	5034191				Sanjay, Pati Tripathi								
				IND	5041813				Sannath Kumar, K.								
				IND	5035643				Santhana, Mahalingam Ashwini								
				IND	5041821				Saralya, Vikram								
				IND	5052980				Sarat Chandra, N								
				IND	5053013				Saritha, Sirvaiya								
				BAN	10203796				Sarkar, Belayet								
				BAN	10204563		0	40	Sarkar, Md. Ali Newaz		0	20	1908	1862			
				GRE	4212029				Sarlologos, Rovertos								
				IRI	12511552				Sarvarian, Hadi								
1943				IND	5034582				Saw, Kamta								
				IND	5053110				Sayali, Digde								
				IND	5039754	i	0	40	Sayan, Mazumder					1734			
				IND	5034272				Sayed, Rehman Ali								
				IRI	12507261		0	20	Sayyaf, Meghdad					1903			
1959				IND	5030552		0	40	Sebastian, P.T.					1662			
	0	20	2049	IRI	12511560		7	20	Sedghi, Babak		0	20	1983	1964			
				MRI	9700234				Seegolam, Heetee								
				IND	5053137				Seetaram, K								
				ARG	116980				Selvetti, Alexis								
1979				RSA	14301091		0	20	Seotloadi, T					1754			
				IND	5017041				Sethi, Vineet						w		
				MLT	5600430				Sevianiuk, R.								
				BAN	10206400	i	0	40	Shafkat, Hossain					1572			
1992				IND	5053153	i	0	20	Shah, Dhruv					1769			
				IND	5041651				Shah, Fenil								
1991				IND	5030919				Shah, Preet								
				IND	5041660				Shah, Sagar								
				IND	5031656				Shaha, S.K.								
				IRI	12507296				Shahibzadehgan, Ali								
				IND	5042232				Shaik Mudhasir, Ahmed								
1995				IND	5053188				Shaikh, Fatima								
				IND	5035910				Shailendra, K. Bajpai								
				BAN	10204989				Shamiun, Bashir								
				IRI	12505137				Shamsi, R								
1994				IND	5053234	i	0	20	Shankar, Nilesh					1769			
				IND	5042240				Shanmugharaja, S								
				IND	5042259				Shantharam, I								
				IRI	12507342	i	0	40	Shariati, Omar					1797			
1992				IND	5053250				Sharma, Arpit								
				IND	5053269				Sharma, Ashutosh								
				IND	5053277		7	20	Sharma, Avinash					1761			
				IND	5053293				Sharma, Hemraj								
				IND	5035660				Sharma, M.D.								
				IND	5053307				Sharma, Surinder								
				IND	5053315				Sharma, Tarun								
				IND	5041856				Sharma, Umakant								
				BAN	10203230				Sharmin, Sultana Shirin								
				IND	5035678				Shashank, Maheshwari								
1979				IRI	12506370				Shayegi, Mikal								
				BAN	10204172		0	40	Sheik, Majnu					1825			
				IRI	12511617	i	0	40	Sheikhi, Saeid					1927			
				IND	5053340				Shelke, Deepak								
				BLR	13505823				Sherziain, Yauhen								
1993				IND	5053366				Sheth, Dhruvin								
				IND	5038804	i	0	40	Shikalgar, Imran					1449			
1983				IND	5037310	i	0	40	Shinde, Kiran					1886			
	0	20	2006	IRI	12511625		0	20	Shiri, Mohsen		0	20	2055	2033			
1994				IND	5036674				Shirsha, Ghosh								
1967				IND	5034205				Shiv, Kumar								
				IND	5053382				Shiv, Mohan Dutt								
1958				IND	5034620				Shiv, Ram								
1990				IND	5030587				Shiva, Ashta								
				IRI	12506125				Shokouhi, Behzad.								
				MAR	9001840				Shokri, Adil								
				IRI	12507350				Shokri, Mohammadjavad								
1991				IND	5053455		9	20	Shyam Sundar, T.	FA				1862			
				IND	5035686				Shyam, M. Batwara								
				IND	5030609				Sidharth, Prusti								
				IND	5042267				Sidharthan, S								
1994				IND	5053552	i	0	40	Singh, Amarvansh					1818			
1955				IND	5037328				Singh, C. B.								
				IND	5053560				Singh, Iqvinder								
1994				IND	5053579				Singh, Neetyakshaya								
1993				IND	5053587				Singh, Sameen								
				IND	5053595				Singh, Sandeep								
				IND	5041872				Singh, Subodhkumar								
				IND	5053609				Singh, Umrao								
				IND	5034647				Singh, V.N.								
1990				IND	5037336				Singha, Raj Kumar								
				IND	5041880				Sinha, S.K.								
				MAR	9001859				Slimani, Abderrazak								
				IND	5053641				Smit, Thakkar								
				IND	5030617				Sneha, Gada								
				IRI	12505480	i	0	40	Sobehdel, Yaser					2063			
				GRE	4213793				Sofos, Efthimios								
				GRE	4214560				Soilemezis, Anastasios								
1982				IND	5030625	i	0	20	Sojith, E.					1685			
				IRI	12511633		0	40	Sokhanvarian, Pedram					1884			
				IRI	12511641	i	0	40	Soleimani, A.khosro					2018			
1989				IND	5034043				Somekmillan, Singh								
				IND	5053692				Sonavane, Rajendra								
				RUS	24149136				Sosian, Gagik								
				RUS	24149144				Sosian, Iesy								
				GRE	4223004				Sotiriou, Athanasios								
				IND	5053773				Soumith, M								
				IND	5036682				Soumitra, Verma								
				IND	5042283				Soumyashree, C . Ail								
				IND	5053781				Souradeep, Ghose								
				GRE	4223039				Spaho, Marios								
				ARG	173657		0	40	Spata, Emmanuel					1768			
				IND	5029090				Sphoorti, P. Pai								
				GRE	4210581				Spyrou, Panayotis								
				IND	5035694				Sravya, Medarametla								
				IND	5053803				Sree Geeta, K								
				IND	5053820				Sreelakshmi, V.								
1998				IND	5053838				Sreeniketh								
1947				IND	5022738		0	20	Sreeraman, Namboodiri P.					1529			
				IND	5053862				Sri Ram, R								
				IND	5031672				Sri, Lakshmi								
				IND	5053935				Srivani, B K								
				IND	5034663				Srivastava, Anuj Kr.								
1968				IND	5053943				Srivastava, Sunil								
1979				RSA	14301113				Stambull, Rf								
				GRE	4223071				Stathakis, Giannis								
				GRE	4223128				Stergiou, Anastasios								
				IND	5035929				Subhash, Chandra Gupta								
				IND	5041899				Subhashi, Vipul								
				IND	5053978				Subnis, Om								
				IND	5031699				Subrahmanyam, M.V.								
				IND	5031702				Subramanian, T.N.								
				IND	5041686				Sudershan, A.								
1963				IND	5030641		0	20	Sugunesh, Babu					1568			
1989				IND	5031710				Suhas, T.C.								
				IND	5035937				Sujit, K Singh								
1980				IND	5034051				Sujit, K.								
1995				IND	5037344				Sukhapal, Amit								
1985				IND	5030650				Sumit, Brahmankar								
				CHN	8604673				Sun, Shipang								
				IND	5029112				Surabhi, Suhas Munot								
				IND	5054044				Suraj, Choudhary								
1985				IND	5031729	i	0	20	Suraj, Jaiswal					1703			
1973				IND	5034671				Surayakantha, Bisoi								
				IND	5054079				Suresh, V								
				IND	5054117				Sushant, Bhoi								
1995				IND	5036739	i	0	40	Swarup, De Sarkar					1679			
1989				IND	5031745				Swathi, N.								
	0	20	1559	GRE	4212380		0	40	Syros, Loukas					1540			
				IND	5039290				T Khonglah								
				ARG	173665		0	40	Taboas, Angel		0	20	1889	1845			
1993				IND	5054184				Tamhankar, Mihir								
1955				IND	5054192				Tandel, Dr. Deepak	FA							
	0	20	1707	IND	5038839		0	20	Tankasale, Pranav		0	20	1706	1722			
				IND	5054206				Tanuj Kumar, Malank								
				CHN	8604690				Tao, Haochuan								
1954				IND	5031753		0	20	Tapan, Kumar Dey					1690			
				IRI	12505420	i	0	40	Tarazooieadl, M.					2030			
				IRI	12506141				Tasdighmoghaddam, M								
				IRI	12511684				Tavassoli, Saghar								
				IRI	12511692	i	0	20	Tayefehghahremani, Armin		0	20	1874	1911			
1979				IND	5054249		7	20	Tayyeb, Asif Mohmamad					1611			
				GRE	4216539				Tegos, Sotirios								
				GRE	4223195				Tegou, A								
1982				IRI	12506192				Teimoory, Neda								
				IND	5031966				Tejas, Thorat								
				MAS	5703859				Teoh, Seng Hong *								
1991				IND	5034060				Th., Gobin Luwang								
1986				IND	5035945				Thomas, P.S.								
				IND	5054346				Thombre, Mandar								
				GRE	4214390				Thrasyvoulidis, Michalis								
				IRI	12507679				Timchememar, Hossein								
				IRI	12511706	i	0	40	Tirandaz, Elaheh					1656			
1988				IND	5034680	i	0	20	Tiwary, Vikash K.					1768			
				SYR	7601492				Toima, Joy								
				GRE	4214170				Tombaidis, Ilias								
1967				IND	5034078				Tonny, E.J.								
				IND	5042305				Tony, E J								
1989				IND	5030935				Topivala, Devang								
				IND	5038847				Topiwala, Devang								
1990				BRA	2103940				Torre, Thais Rafael Dalla						w		
				BAN	10204814		0	20	Towhidul, Bari Chowdhury					1823			
				IND	5054354				Tralakya, Doley								
				IND	5034280				Trivedi, Prabhav S.								
				ARG	110108				Tschubarov, Alexis								
				GRE	4215818				Tseles, Drosos								
				GRE	4223373				Tsiringanos, Athanasios								
				GRE	4215125				Tsoukas, Marinos								
				GRE	4212053				Tsounakas, Vasilis								
1963				MDA	13904191				Tsurcan, Mihai								
1981				MDA	13903756				Tudose, Gheorghe								
				ECU	3605442				Ugalde, Daniel								
1974				IND	5034698				Uniyal, Arvind								
1978				IND	5034086				Unnikrishnan, B.								
1992				IND	5037352				Upadhyaya, Parikshit								
1990				IND	5054419				V. Anshu Kumar								
				IND	5054427				V., Mrunalini								
				IRI	12511730	i	0	40	Vafa, Javad					1962			
	0	20	1984	IRI	12511749		7	20	Vahdani, Mojtaba					2015			
1989				IND	5031052	i	0	40	Vaidya, Sohil					1953			
1991	0	20	1337	IND	5037174		0	40	Vajandar, Amogh		0	20	1359	1387			
				IRI	12511757		0	20	Vakilpour, Azin					1779			
				ARG	173720				Valenzuela, Joao								
				ARG	111180		0	40	Valverde, Ezequiel					1989			
1982				RSA	14301148				Van Den Berg, A								
				RSA	14301474				Van Wyk, Wessel								
1986				IND	5054494	i	0	40	Vardhan M Hegde					2068			
	0	20	1916	IND	5054516		0	20	Varun, Bhatt		0	20	1897	1912			
				IND	5014352				Vasanth, Reddy, G								
				IND	5041910				Ved, Rahul								
				IND	5054540				Venktesa Chari, G								
				IND	5054559				Venugopala, Krishna								
				GRE	4212061				Verikakis, Emmanouil								
				GRE	4214943				Verikakis, Giannis								
1989				GRE	4211898		0	20	Verikakis, Ioannis					1920			
1995				ECU	3607437	i	0	20	Versosa Bravo, Karen					1738			
				IND	5054567				Vignesh								
1994				IND	5054575				Vijai V								
				IND	5054583				Vijay Dhale								
1979				IND	5031788				Vijaya, Raghavan A.K.								
1992				IND	5031800				Vikrant, S. Pawaskar								
1971				IND	5054605	i	0	40	Vinaykumar Gajbhiye					1645			
				IND	5042321				Vinni, Prabhu R								
1986				IND	5054621		0	40	Vinod V					1790			
1987				IND	5054648				Vishnu Ramanath								
1990				IND	5031834				Vishnuvardha, Chirukandath A								
				IND	5035422				Vishwesh, Kochrekar								
1970				IND	5054656		0	20	Viswanathan.M.S					1630			
				IND	5038510				Viswanthitha								
				IND	5042348				Viswantitha								
				RSA	14301423				Voges, Michel								
				IND	5038855				Wabale, Chaitra								
1980				IND	5030943				Walujkar, Avinash								
				ARG	115851	i	0	40	Walz, Gabriel Matias					1937			
1995				CHN	8604487				Wang, Haotian								
1993				CHN	8604657				Wei, Tongzeu								
				ISV	6800190				Widmer-babic, Gail								
				AHO	7500459				Winklaar, Tito								
				CHN	8604371				Wu, Xin Liang								
				CHN	8604703				Xie, Huanlu								
				ECU	3607453		0	40	Yandun, Dario					1773			
1996				IND	5054729				Yaswanth.B								
				CHN	8604851				Ye, Nan								
				CHN	8604380				Yi, Xia								
1992				IND	5031826				Yogesh, S.								
				SYR	7602430				Yosef, Dardas								
1972				IND	5030714				Zaheer, Hussain A.								
				BAN	10206450				Zahirul, Islam Faisal								
				IRI	12511790	i	0	20	Zakeri, Saeidreza					1642			
				IRI	12506354				Zamanizadeh, Toumaj								
				ECU	3604616	i	0	40	Zambrano, Angel					1682			
				IRI	12505935	i	0	40	Zandeisakhani, Ramin					1653			
	0	20	1959	IRI	12507377		0	20	Zanganeh, Babak					2002			
				IRI	12511803				Zare, Gholamreza								
				IRI	12511811	i	0	40	Zareei, Hanifeh					1910			
				PUR	3100952				Zavala, Tello Marlene Sidon								
				CHN	8604860	i	0	40	Zhang, Kai					2117			
				CHN	8604711				Zhao, Longfei								
1987				RSA	14301172		0	40	Zitha, Ll					2059			
				IRI	12507385		0	40	Zolnouri, Soheil					1941			
1994				CHN	8604878				Zou, Guangsen								
1012
